"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"WP2446","WP2446","Retinoblastoma Gene in Cancer",87,0.636565973412448,2.07894768186214,0.00165837479270315,0.0136986301369863,0.00729992790194665,4697,"tags=54%, list=19%, signal=44%","TOP2A/ANLN/POLE2/KIF4A/CCNB1/CCNA2/TTK/CHEK1/PLK4/MCM4/CCNB2/CDK1/RRM2/TYMS/CDC45/RFC4/CCNE2/ORC1/TFDP1/CCNE1/SKP2/CDT1/CDC25A/E2F2/CDC7/FANCG/MSH6/MCM6/BARD1/POLE/PRKDC/E2F3/SMC2/MCM7/RFC5/STMN1/DHFR/RFC3/RPA3/WEE1/HLTF/PRIM1/E2F1/HMGB2/PCNA/H2AFZ/MCM3"
"WP179","WP179","Cell Cycle",120,0.514478582141183,1.74942320154924,0.00166666666666667,0.0136986301369863,0.00729992790194665,4923,"tags=38%, list=20%, signal=31%","CDKN2A/CDC25C/CCNB1/CCNA2/TTK/CHEK1/CDC6/PLK1/ORC6/CDC20/MCM4/BUB1/CCNB2/CDK1/ESPL1/DBF4/CDC45/CCNE2/ORC1/PTTG1/TFDP1/MCM2/CCNE1/PKMYT1/SKP2/CDC25A/SMC1B/E2F2/CDC7/MCM6/PRKDC/E2F3/E2F5/CHEK2/MCM7/RBL1/CDKN2C/WEE1/GADD45A/E2F1/ORC2/PCNA/ATM/MCM3/ANAPC11/BUB3"
"WP4016","WP4016","DNA IR-damage and cellular response via ATR",80,0.608265656044446,1.96395220508954,0.00167785234899329,0.0136986301369863,0.00729992790194665,4611,"tags=44%, list=19%, signal=36%","CDC25C/BRIP1/CHEK1/PLK1/EXO1/FANCI/FOXM1/CDK1/CDC45/FANCD2/MSH2/FANCA/MCM2/BRCA1/RAD51/CLSPN/BRCA2/FEN1/TOPBP1/BARD1/POLB/PRKDC/EEF1E1/H2AFX/CHEK2/RMI1/CLK2/RBBP8/RFWD3/PALB2/E2F1/PCNA/SEM1/ATM/MRE11"
"WP2369","WP2369","Histone Modifications",67,0.622040510738319,1.9314019320563,0.00174825174825175,0.0136986301369863,0.00729992790194665,3552,"tags=40%, list=15%, signal=34%","EZH2/HIST1H4H/HIST1H4C/HIST1H3H/HIST1H4E/SUV39H2/HIST1H3B/HIST1H3J/HIST1H3D/HIST1H4D/HIST1H4I/HIST1H3C/HIST1H4B/HIST1H3F/EED/HIST1H4F/SMYD3/HIST1H4A/HIST1H3I/HIST1H4L/HIST1H3A/HIST4H4/HIST1H3G/HIST1H4J/HIST1H4K/KMT5C/SMYD5"
"WP466","WP466","DNA Replication",42,0.682437853191023,1.93537269381962,0.00177619893428064,0.0136986301369863,0.00729992790194665,4697,"tags=57%, list=19%, signal=46%","POLE2/CDC6/ORC6/MCM4/MCM10/DBF4/CDC45/RFC4/ORC1/MCM2/CDT1/GMNN/CDC7/MCM6/PRIM2/POLE/MCM7/RFC5/RFC3/RPA3/PRIM1/ORC2/PCNA/MCM3"
"WP2361","WP2361","Gastric Cancer Network 1",29,0.686964138085659,1.80275060612194,0.00178890876565295,0.0136986301369863,0.00729992790194665,3244,"tags=52%, list=13%, signal=45%","CENPF/TOP2A/TPX2/UBE2C/ECT2/E2F7/MCM4/MYBL2/KIF15/AURKA/KIF20B/S100P/RUVBL1/HIST4H4/ACTL6A"
"WP357","WP357","Fatty Acid Biosynthesis",22,-0.726399194516133,-1.84886866105561,0.00223713646532438,0.0136986301369863,0.00729992790194665,4344,"tags=64%, list=18%, signal=52%","ECH1/ACACA/ECHDC1/FASN/SCD/ACSL5/ACAA2/ACSL4/DECR1/PECR/ACSS2/ACACB/ACSL1"
"WP545","WP545","Complement Activation",22,-0.756514524093489,-1.92551974973147,0.00223713646532438,0.0136986301369863,0.00729992790194665,2934,"tags=59%, list=12%, signal=52%","C3/C1QC/C8B/C4A/C1QA/C4B/C7/C1QB/CFP/C5/CFD/MASP1"
"WP127","WP127","IL-5 Signaling Pathway",40,-0.642749664204508,-1.87301769330181,0.00227272727272727,0.0136986301369863,0.00729992790194665,3731,"tags=52%, list=15%, signal=45%","SYK/GSK3B/RAF1/MAP2K1/MAPK3/AKT1/IL2/RPS6KA1/FOS/GRB2/CSF2RB/STAT5B/JAK1/STAT3/STAT5A/MAPK1/PIK3R1/JUN/FOXO3/BTK"
"WP3937","WP3937","Microglia Pathogen Phagocytosis Pathway",40,-0.693804651206547,-2.02179551351968,0.00227272727272727,0.0136986301369863,0.00729992790194665,3031,"tags=55%, list=12%, signal=48%","FCGR1A/NCF4/PLCG2/C1QC/VAV1/RAC2/ITGB2/SIGLEC7/PIK3R3/FCER1G/TREM1/PTPN6/C1QA/CYBB/PIK3R1/C1QB/HCK/NCF1/ITGAM/NCKAP1L/NCF2"
"WP49","WP49","IL-2 Signaling Pathway",42,-0.654594269333697,-1.92105350035104,0.00227790432801822,0.0136986301369863,0.00729992790194665,3731,"tags=55%, list=15%, signal=46%","MAP2K1/MAPK3/CISH/FYN/SOCS3/CCND2/AKT1/IL2/CRKL/FOS/GRB2/STAT5B/JAK1/IL2RG/STAT3/STAT5A/PTK2B/MAPK1/PIK3R1/JUN/FOXO3/GAB2"
"WP1539","WP1539","Angiogenesis",24,-0.732880961801299,-1.89749435748104,0.00229357798165138,0.0136986301369863,0.00729992790194665,4385,"tags=62%, list=18%, signal=51%","FLT1/PDGFRA/TIMP2/MAPK14/AKT1/ARNT/KDR/MAPK1/FGFR2/TIMP3/TEK/FGF2/PDGFB/ANGPT1"
"WP98","WP98","Prostaglandin Synthesis and Regulation",45,-0.67707967450932,-2.02155511161406,0.00229885057471264,0.0136986301369863,0.00729992790194665,3864,"tags=60%, list=16%, signal=51%","PPARGC1B/EDNRA/ANXA2/ANXA4/PRL/TBXA2R/PTGIS/SCGB1A1/ABCC4/PTGER3/PTGFR/ANXA6/HSD11B1/PTGS1/HPGDS/HPGD/PTGER2/MITF/PTGIR/PTGER4/ANXA3/TBXAS1/PTGDS/PPARG/EDN1/EDNRB"
"WP4481","WP4481","Resistin as a regulator of inflammation",33,-0.728719111343713,-2.03471110257775,0.00230414746543779,0.0136986301369863,0.00729992790194665,5951,"tags=67%, list=25%, signal=50%","IKBKG/PLCD3/PLCB4/AKT3/TNF/CHUK/RELA/PLCG1/MAPK3/MAPK14/NFKB1/PLCG2/AKT1/ITPR1/IL6/PLCD1/MAPK1/RETN/PLCE1/NFKBIA/PLCB2"
"WP4149","WP4149","White fat cell differentiation",32,-0.717187214869053,-1.99503493862868,0.0023094688221709,0.0136986301369863,0.00729992790194665,4991,"tags=75%, list=21%, signal=60%","EBF1/RORA/CEBPB/INS/TLE3/TCF7L1/CTNNA1/EGR2/NR3C1/STAT5B/KLF4/RARA/NR2F2/GATA3/ZNF423/STAT5A/FOXO1/CEBPD/KLF2/CEBPA/KLF15/GATA2/PPARG"
"WP3942","WP3942","PPAR signaling pathway",67,-0.635560220456832,-2.05978992655891,0.00232558139534884,0.0136986301369863,0.00729992790194665,2954,"tags=37%, list=12%, signal=33%","CYP7A1/ACSL5/HMGCS2/ACAA1/PCK2/ACSL4/ILK/CPT1A/RXRA/SLC27A6/FABP1/APOA1/ACSL1/LPL/FABP3/SORBS1/ACADL/OLR1/PPARG/RXRG/FABP5/FABP4/CYP27A1/CD36"
"WP4155","WP4155","Endometrial cancer",63,-0.670921336651483,-2.1426216377604,0.00232558139534884,0.0136986301369863,0.00729992790194665,4412,"tags=46%, list=18%, signal=38%","DDB2/CCND1/PDPK1/RAF1/MAP2K1/MAPK3/TCF7L1/CTNNA3/CTNNB1/CTNNA1/APC/PTEN/SOS2/AKT1/CDKN1A/TCF7L2/FOS/GRB2/ARAF/ILK/PIK3R3/MAPK1/FGFR2/PIK3R1/FOXO3/FGF2/GADD45B/AXIN2"
"WP2637","WP2637","Structural Pathway of Interleukin 1 (IL-1)",49,-0.644842291521501,-1.94927613450899,0.00233100233100233,0.0136986301369863,0.00729992790194665,5196,"tags=55%, list=21%, signal=43%","MAP3K14/CHUK/RELA/MAPK10/TRAF6/MAP2K3/TAB1/MAP2K1/TAB2/MAPK3/MAP2K4/MAPK14/NFKB1/MAPK9/FOS/TOLLIP/MKNK1/MAP3K8/IL1R1/MKNK2/IL1A/MAPK1/MBP/NFKBIA/MYD88/MAP3K3"
"WP286","WP286","IL-3 Signaling Pathway",49,-0.763650610847904,-2.30841855504975,0.00233100233100233,0.0136986301369863,0.00729992790194665,3731,"tags=59%, list=15%, signal=50%","MAP2K1/MAPK3/FYN/YWHAB/CD86/AKT1/BCL2L1/CD69/INPP5D/CRKL/FOS/GRB2/CSF2RB/STAT5B/JAK1/VAV1/TGFB1/STAT3/STAT5A/PRKACA/PTPN6/RAPGEF1/MAPK1/PIK3R1/JUN/HCK/GAB2/IL3RA"
"WP4249","WP4249","Hedgehog Signaling Pathway",43,-0.655625827604928,-1.92858111322179,0.00234192037470726,0.0136986301369863,0.00729992790194665,4544,"tags=42%, list=19%, signal=34%","SHH/CCND1/PTCH1/DHH/GPR161/CDON/CCND2/SUFU/EVC/FBXL17/SPOP/PRKACA/GRK3/ARRB2/LRP2/HHIP/ARRB1"
"WP395","WP395","IL-4 Signaling Pathway",54,-0.658040267101942,-2.01956684134443,0.00235849056603774,0.0136986301369863,0.00729992790194665,3558,"tags=52%, list=15%, signal=44%","MAPK14/SOCS3/NFKB1/FES/IL4R/EP300/AKT1/STAT6/INPP5D/FOS/GRB2/FLNA/STAT5B/JAK1/IRS1/NFIL3/GATA3/IL2RG/STAT3/STAT5A/PTPN6/MAPK1/NFKBIA/PIK3R1/GAB2/CEBPA/DOK2"
"WP195","WP195","IL-1 signaling pathway",55,-0.64272055450148,-1.98054641301281,0.00237529691211401,0.0136986301369863,0.00729992790194665,5196,"tags=56%, list=21%, signal=44%","NFKBIB/MAP3K14/CHUK/RELA/SQSTM1/TRAF6/PLCG1/MAP2K3/TAB1/MAP2K1/TAB2/MAPK3/MAP2K4/MAPK14/NFKB1/IL1B/AKT1/MAPK9/TOLLIP/IL1R1/IL1A/HSPB2/MAPK1/NFKBIA/IRAK3/PIK3R1/JUN/MYD88/MAP3K3/PRKCZ"
"WP2572","WP2572","Primary Focal Segmental Glomerulosclerosis FSGS",72,-0.564895810605214,-1.85209517787765,0.00237529691211401,0.0136986301369863,0.00729992790194665,4385,"tags=49%, list=18%, signal=40%","CTSL/LRP6/VIM/NPHS2/CR1/CD151/CTNNB1/CDKN1B/FYN/MYH9/COL4A5/AKT1/DAG1/NOTCH1/CDKN1A/COL4A3/ITGA3/SCARB2/ACTN4/TGFB1/ILK/UTRN/PARVA/VCL/LAMB2/TLN1/MME/CDKN1C/PLCE1/PTPRO/TLR4/TRPC6/SYNPO/COL4A4"
