"","x"
"1","YBX2"
"2","DLX6"
"3","CELSR3"
"4","PAX7"
"5","SYT7"
"6","ANLN"
"7","GABRA3"
"8","ABCC2"
"9","DEPDC1"
"10","INSRR"
"11","ARNTL2"
"12","HMGB3"
"13","DEPDC1B"
"14","ZIC2"
"15","MAGEC2"
"16","POLQ"
"17","STYK1"
"18","COL11A1"
"19","SPAG4"
"20","VMP1"
"21","MCM10"
"22","ASPM"
"23","PHKA1"
"24","TRIP13"
"25","HMMR"
"26","PPP2R2C"
"27","KCNQ2"
"28","SPAG5"
"29","UBE2T"
"30","FAP"
"31","RBFOX1"
"32","PTPRH"
"33","NDC80"
"34","NKAIN1"
"35","IGSF9"
"36","RAD54L"
"37","TMPRSS11E"
"38","PTHLH"
"39","DNMT3B"
"40","TPX2"
"41","FER1L4"
"42","BIRC5"
"43","KIF4A"
"44","DLL3"
"45","ORC6"
"46","RGS17"
"47","CDC6"
"48","MMP11"
"49","COCH"
"50","POLE2"
"51","GINS1"
"52","MYBL2"
"53","PABPC1L"
"54","SALL4"
"55","EEF1A2"
"56","FERMT1"
"57","FAM83D"
"58","SRPX2"
"59","CENPI"
"60","RHBDL1"
"61","SALL1"
"62","OIP5"
"63","MCM4"
"64","FSD1"
"65","MAST1"
"66","STX1A"
"67","EZH2"
"68","LHX2"
"69","CA9"
"70","EBF3"
"71","DNAJC12"
"72","GALNT7"
"73","NEIL3"
"74","NCAPG"
"75","KIAA1549L"
"76","FOXM1"
"77","PRR4"
"78","CDCA3"
"79","TTK"
"80","POLR3G"
"81","ECT2"
"82","CENPA"
"83","FHL2"
"84","ABCB6"
"85","RALGPS2"
"86","AGMAT"
"87","SLC2A1"
"88","CDC20"
"89","NEK2"
"90","CENPF"
"91","KIF14"
"92","ATP10B"
"93","ONECUT2"
"94","HELLS"
"95","TMEM156"
"96","PAEP"
"97","TWIST1"
"98","CENPK"
"99","STIL"
"100","HJURP"
"101","COL10A1"
"102","WFDC3"
"103","OR2B6"
"104","C1orf61"
"105","DLGAP5"
"106","SYNGR3"
"107","VIL1"
"108","GNGT1"
"109","PAICS"
"110","PPAT"
"111","ADM2"
"112","BAIAP2L2"
"113","VGF"
"114","E2F8"
"115","EGLN3"
"116","SGO1"
"117","FAM155B"
"118","GINS2"
"119","BARX1"
"120","CA6"
"121","TOP2A"
"122","RHBG"
"123","KHDC4"
"124","FCRL2"
"125","C1QTNF6"
"126","CCNB1"
"127","CDCA8"
"128","TCN1"
"129","ACRV1"
"130","GOLM1"
"131","PSAT1"
"132","TROAP"
"133","B4GALNT1"
"134","IGF2BP3"
"135","BRIP1"
"136","ARHGEF39"
"137","TFAP2A"
"138","SLCO5A1"
"139","SULF1"
"140","KIF23"
"141","KNL1"
"142","ITPKA"
"143","BCL2L10"
"144","CGREF1"
"145","KIF11"
"146","CEP55"
"147","GPR87"
"148","ADAMTS14"
"149","DNA2"
"150","CILP"
"151","CENPE"
"152","GCNT3"
"153","PIF1"
"154","FANCI"
"155","PMAIP1"
"156","PLPP2"
"157","SLC2A5"
"158","PLK4"
"159","KIF2C"
"160","NUF2"
"161","FCRL5"
"162","CRABP2"
"163","KCNH1"
"164","HHIPL2"
"165","CDCA7"
"166","DLX1"
"167","CCDC150"
"168","ABCA12"
