Length	Symbol	logFC.L.PvsL	logFC.L.VvsL	logFC.L.VvsP	logCPM	F	PValue	FDR
2021	Ptn	-1.53752006218217	7.26415041048276	8.80167047266492	7.97556410271542	2386.73097286438	3.95858198919531e-17	6.16430387357494e-13
4757	Egf	-5.35779123256875	-7.22125304661307	-1.86346181404432	3.6782839636827	1124.19239716297	4.70070961470052e-15	3.25498642895028e-11
4089	Kcnk6	-2.42259647221218	-7.00055415942929	-4.57795768721711	5.91568172301525	1019.43167677682	8.73358062244684e-15	3.25498642895028e-11
1345	Hp	1.0802706169252	5.41704382980244	4.33677321287724	4.93542320931377	992.580154865526	1.03413353865616e-14	3.25498642895028e-11
765	Csn1s2b	-8.55150100230006	-11.361430161204	-2.80992915890397	10.1907801116337	1048.39028758733	1.04514077477212e-14	3.25498642895028e-11
5346	Fgfr2	-1.14922286383244	3.94758602100005	5.09680888483249	7.38701421900766	953.860391387859	1.33028867009307e-14	3.33262680832001e-11
1793	Stc2	-1.81089353619078	3.19542108140874	5.00631461759952	6.11166581086698	922.158448591413	1.64750864593407e-14	3.33262680832001e-11
7050	Atp2b2	-7.37080430867662	-10.5603728061836	-3.18956849750698	6.60651792753181	1133.62542967131	1.79664878317359e-14	3.33262680832001e-11
1678	Slc25a1	-4.12952263388297	-4.91302838286629	-0.783505748983314	7.50076522435067	888.367652785131	2.08635324393286e-14	3.33262680832001e-11
691	Ly6d	3.41884578808925	9.23878737593386	5.81994158784461	4.68905148037318	884.799734687629	2.14014051394812e-14	3.33262680832001e-11
4836	St6gal1	-2.84604397112645	-6.26470246770065	-3.41865849657421	7.61021479361416	842.651242060541	2.91398476223206e-14	4.12514279249797e-11
3313	Slc30a2	-3.20167554754736	-6.15441948651673	-2.95274393896936	5.21647630656443	796.373053217028	4.16442810297137e-14	4.77353268734791e-11
3747	Ddah1	-6.25436018390589	-6.85461315865109	-0.600252974745201	4.21384933920003	788.377828870634	4.4386282677114e-14	4.77353268734791e-11
640	Fabp3	-1.7272733645882	-10.014138350129	-8.28686498554079	9.29556297055038	785.161446215266	4.55478793773387e-14	4.77353268734791e-11
2644	Mocs1	-1.75428952855343	-4.54971412615508	-2.79542459760165	6.3094717133942	783.9839910073	4.5981884350256e-14	4.77353268734791e-11
2781	Elovl5	-2.85731850432612	-3.90947798425787	-1.05215947993175	7.21559330481453	732.94133495476	7.03544763495288e-14	6.84724941071789e-11
953	Id3	0.598348762863765	5.05936045424396	4.46101169138019	5.10033584639802	719.586787369008	7.9017547494318e-14	7.23800735047953e-11
1264	Gipc2	-1.63322797981389	4.90562520807824	6.53885318789212	3.51511390208306	667.47415217656	1.27003018311298e-13	1.09871722285751e-10
6325	Eef2k	-1.90209297675253	-2.94824932055419	-1.04615634380166	6.22741696873194	637.634886836404	1.69481212182636e-13	1.32479255620087e-10
2476	Gjb6	1.40293231998078	-6.14488245729317	-7.54781477727395	4.86044303858333	634.588870305779	1.74677996548358e-13	1.32479255620087e-10
775	AW112010	-0.0785440781524389	4.54903581274219	4.62757989089463	3.64441582790854	632.326029372004	1.78658127923312e-13	1.32479255620087e-10
625	Glycam1	-2.76320273969956	-11.1036017609281	-8.34039902122854	14.4889499915827	617.071935415993	2.08401313829581e-13	1.47510239043374e-10
3815	C130021I20Rik	-1.21359041573507	3.0672059953833	4.28079641111837	5.38486473342078	603.801330639216	2.39015875588945e-13	1.52644208143681e-10
736	Fkbp11	-2.26109346369664	-4.64383977634181	-2.38274631264517	6.85628055657874	599.45800615508	2.50144283269957e-13	1.52644208143681e-10
770	Sec11c	-1.48692970478923	-3.35212153815143	-1.86519183336221	5.96070267291306	599.357228439424	2.50409522724203e-13	1.52644208143681e-10
3756	Gldc	-2.1998981726637	-9.57526284044393	-7.37536466778023	6.8681514628417	707.906876961581	2.54864462608253e-13	1.52644208143681e-10
4175	Slc34a2	-4.1835560291793	-7.03922830664351	-2.85567227746421	8.00614988606442	650.438835344312	2.70751248520139e-13	1.56153275627985e-10
4206	Slc1a3	-4.14661395141689	-7.5609125150207	-3.4142985636038	3.6541652819158	586.651420542514	2.86616520998404e-13	1.59399730892398e-10
2023	Ormdl3	-1.47888623766458	-3.71040487127131	-2.23151863360673	6.88741394336863	574.432120705487	3.27267960590487e-13	1.71755210203934e-10
4525	Gprc5b	-2.50370943498388	-4.59264506164748	-2.0889356266636	6.3949450132927	573.428824642862	3.30892390580401e-13	1.71755210203934e-10
4257	Gm2a	-1.88483631713705	-3.79645619629017	-1.91161987915312	8.17129732779495	552.494084478624	4.18243425912873e-13	2.10093117042428e-10
3743	Clic6	-2.32953904821863	4.16399639886987	6.4935354470885	4.03732249957312	539.903917018595	4.83580553281112e-13	2.34285451736112e-10
3987	Rapgef5	-1.68961163615443	-4.03219608676026	-2.34258445060583	5.96269398544578	537.648550088903	4.96494985055977e-13	2.34285451736112e-10
2833	Acss2	-2.55420758641372	-4.28048621863725	-1.72627863222353	5.10517402463653	526.715149705795	5.65045463369533e-13	2.58790822223246e-10
1506	Pmvk	-2.67727906683541	-3.06840905249784	-0.391129985662426	5.30507438684422	521.980185242092	5.98090459976419e-13	2.66098989792937e-10
10724	Piezo2	0.0210428730996125	6.82473005483203	6.80368718173242	4.06088056817915	520.486752698255	6.53307538534995e-13	2.7873442998821e-10
1896	Tmem165	-1.935049900386	-4.01633066482873	-2.08128076444273	6.99594026716121	513.591020831287	6.62289616591561e-13	2.7873442998821e-10
975	Cited1	-3.53693458985767	1.18570534993311	4.72263993979078	5.67714504248924	509.226084254667	6.98829251926671e-13	2.78988867864125e-10
4049	Lpl	-2.26142283152537	-8.12743195165061	-5.86600912012525	9.30274168898501	533.391563732881	7.06632090668743e-13	2.78988867864125e-10
4837	Scd1	-3.29624351111839	-6.03851216703632	-2.74226865591793	11.9997500177144	507.192898130198	7.16642352592152e-13	2.78988867864125e-10
8485	Acacb	-4.31734085499574	-5.98320282213242	-1.66586196713668	6.58308309132036	606.493190598138	7.64090787186114e-13	2.90205408245419e-10
3707	Slc39a8	-6.50457879471838	-6.46256746480432	0.0420113299140526	5.07522320923859	605.837842632894	7.97204109147639e-13	2.95572913991596e-10
3348	Acadsb	-1.88933051541925	-2.67966600529173	-0.790335489872484	6.48132518986062	496.631239026221	8.18074034070151e-13	2.96256950198614e-10
3891	Acsl1	-1.49154580965835	-5.90812623538567	-4.41658042572732	9.3189390266363	490.85922684412	8.80488310522531e-13	3.1161281753311e-10
1485	Pdhb	-1.19941709057827	-2.98570661634492	-1.78628952576664	6.80254480980128	485.425874280674	9.44325275885507e-13	3.26778515468647e-10
4294	Cyb5b	-1.82771005440804	-3.20714181697175	-1.37943176256371	7.10282280507106	483.577784309254	9.67247757642892e-13	3.27434393087285e-10
2755	Lgals12	-2.36598735074579	-3.80317322639009	-1.4371858756443	4.89992431591713	474.855310609065	1.08451431613736e-12	3.59320360231722e-10
4035	Dlat	-1.72902389479996	-3.35099835433667	-1.62197445953671	6.92974789892032	473.022956330558	1.11119386052402e-12	3.60489808251669e-10
5430	Trp53inp1	-0.268302364816856	2.33294486712008	2.60124723193694	6.56282204053584	466.016967432482	1.22045131356609e-12	3.87854446017372e-10
2338	Pianp	-0.076266150634888	4.77061608205205	4.84688223268694	5.14342407015982	460.183424494487	1.3209866677261e-12	4.11408087796617e-10
5330	Podxl	1.48799202416963	3.84367056015273	2.35567853598309	6.67270851670833	457.121232936558	1.37758004606438e-12	4.20621107398325e-10
2039	Cel	-2.39821506649196	-5.3833882454172	-2.98517317892524	9.27037409537149	455.030911709433	1.41782424790451e-12	4.2458383054556e-10
4592	Eloa	-2.03451543382798	-2.50656930369206	-0.472053869864087	7.12038514863658	447.593773125396	1.5724608521104e-12	4.62006799793643e-10
2226	Slc39a4	4.34421323758385	0.84373310055828	-3.50048013702557	4.28026502643677	444.801998893605	1.63548472086958e-12	4.71625334692241e-10
