GeneID,log2FC,P.Value,adj.P.Value
ENSG00000200156,13.71714798,0.004773972,0.106547652
ENSG00000230657,13.27397592,0.003920605,0.097861917
ENSG00000198681,12.4883123,0.002442758,0.080533105
ENSG00000162494,12.36469668,0.001090871,0.054683933
ENSG00000157851,12.25685159,0.000195607,0.023427539
ENSG00000251655,12.00657299,0.004438758,0.103297187
ENSG00000124260,11.80322344,0.005270048,0.110725226
ENSG00000199568,11.45837577,0.001270409,0.058565991
ENSG00000115386,11.22929149,0.001359216,0.060639737
ENSG00000170689,11.02373642,0.00038785,0.033075219
ENSG00000227674,10.99298514,0.002308726,0.078581141
ENSG00000176566,10.99031834,0.004924046,0.10853537
ENSG00000046774,10.90301624,0.000635673,0.041609721
ENSG00000221867,10.68470883,0.000959169,0.051339287
ENSG00000185559,10.6348037,0.001248032,0.058191484
ENSG00000185247,10.61888461,0.003980973,0.098358318
ENSG00000173237,10.58763975,0.000416797,0.03417416
ENSG00000234854,10.54837426,0.002049889,0.07475001
ENSG00000138675,10.546613,0.003132538,0.08924497
ENSG00000249196,10.45525104,0.003847317,0.097695521
ENSG00000128714,10.44905089,0.002222331,0.077516288
ENSG00000201098,10.42236116,0.001395984,0.061361399
ENSG00000090932,10.36038384,0.000414503,0.034148638
ENSG00000180210,10.26635335,0.001130828,0.055386971
ENSG00000200959,10.26325615,0.004185601,0.100584579
ENSG00000155495,10.25659612,0.000707474,0.043663437
ENSG00000227234,10.19708262,0.006208711,0.117755234
ENSG00000199347,10.1395064,0.001592414,0.065968476
ENSG00000147381,10.04549462,0.001081536,0.054471716
ENSG00000125820,10.0285267,0.000939023,0.050800479
ENSG00000105605,10.01123256,0.006001662,0.116517891
ENSG00000205777,10.00296481,0.005289526,0.110816205
ENSG00000170091,9.984719917,0.001019894,0.052858844
ENSG00000202538,9.94503988,0.001068886,0.054195152
ENSG00000230269,9.839425886,0.004688458,0.105864396
ENSG00000201998,9.831055251,0.000674347,0.042358944
ENSG00000235123,9.82553863,0.000902851,0.049915126
ENSG00000183668,9.739176346,0.008412968,0.132132315
ENSG00000181433,9.729747593,0.006016104,0.116517891
ENSG00000197870,9.695443763,0.000337084,0.031079014
ENSG00000248131,9.695287874,0.003455051,0.093506145
ENSG00000172461,9.659002785,0.000119614,0.018742541
ENSG00000207344,9.648076478,0.008381532,0.131981306
ENSG00000201793,9.613541381,0.007276079,0.125760705
ENSG00000197172,9.538729694,0.001150332,0.055700746
ENSG00000123407,9.537308312,0.007533852,0.126830962
ENSG00000127831,9.506063249,0.000384563,0.032945478
ENSG00000200795,9.441447703,0.001423001,0.061708837
ENSG00000126752,9.363749553,0.007505678,0.126780359
ENSG00000163499,9.339906478,0.000663718,0.042095391
ENSG00000265843,9.332762035,0.00908861,0.135828814
ENSG00000213401,9.289948686,0.001719124,0.068226906
ENSG00000266019,9.282279658,0.001794621,0.069713605
ENSG00000185686,9.267360963,0.000650975,0.042066262
ENSG00000169059,9.218772366,0.001201085,0.056813619
ENSG00000213232,9.188795817,0.005228209,0.11029569
ENSG00000183654,9.188323671,0.002433687,0.080391417
ENSG00000142484,9.179824721,0.001866286,0.071114473
ENSG00000264630,9.159579109,0.007894956,0.12909182
ENSG00000202354,9.154416435,0.009230086,0.136560891
ENSG00000175311,9.075512915,0.000494075,0.037168105
ENSG00000233601,9.012406455,0.009718717,0.138407619
ENSG00000273706,8.97858259,0.000583513,0.040326566
ENSG00000187172,8.960573437,0.000500681,0.037339935
ENSG00000122133,8.932043298,8.69E-05,0.016816931
ENSG00000170373,8.878631746,0.00038422,0.032945478
ENSG00000139515,8.854492672,0.004940976,0.108639646
ENSG00000189299,8.829538107,0.010121858,0.140962547
ENSG00000133636,8.822187473,0.002516006,0.081227544
ENSG00000238825,8.791695988,0.009987902,0.140162009
ENSG00000198930,8.750495821,0.001831678,0.070550872
ENSG00000166143,8.737442449,0.000170772,0.02173847
ENSG00000200972,8.725902311,0.008109527,0.129998524
ENSG00000144355,8.72342896,0.000181546,0.022454853
ENSG00000200312,8.690259926,0.008689979,0.133739439
ENSG00000186191,8.681963885,0.00118207,0.05633973
ENSG00000160182,8.681635315,0.000461526,0.035879806
ENSG00000123364,8.677383102,0.004772958,0.106547652
ENSG00000009709,8.528808535,0.000423493,0.034473916
ENSG00000165553,8.519071848,0.005089911,0.109733858
ENSG00000166736,8.494505884,0.000112688,0.018543474
ENSG00000249550,8.4844451,0.000785139,0.046120529
ENSG00000099399,8.481042995,0.002705226,0.083437101
ENSG00000078328,8.46647856,0.000705026,0.043556805
ENSG00000204113,8.442064705,0.01084354,0.143732158
ENSG00000223392,8.441916839,0.004104729,0.099825615
ENSG00000110680,8.417359659,0.000933944,0.050584363
ENSG00000224960,8.415889127,0.005929897,0.116257107
ENSG00000134551,8.415693999,0.001046356,0.053587442
ENSG00000170516,8.403938289,0.006401935,0.119103948
ENSG00000236900,8.387723613,0.009294988,0.136746568
ENSG00000259156,8.347890487,0.008023108,0.129668429
ENSG00000128713,8.34377802,0.003355313,0.092273905
ENSG00000233844,8.291789468,0.00338821,0.092812099
ENSG00000261046,8.275250722,0.006096234,0.117024753
ENSG00000208892,8.250414697,0.002528684,0.081309101
ENSG00000225546,8.202129156,0.006360165,0.118619141
ENSG00000250102,8.181920573,0.006279646,0.11828459
ENSG00000234111,8.15406054,0.006166176,0.117609
