gene,fold change,p value
TSPAN6,1.2,3.61E-05
TNMD,-0.8,0.255876825
DPM1,-0.2,0.523645179
SCYL3,-0.6,0.032548879
C1orf112,0.3,0.559235391
FGR,0.7,0.106834258
CFH,1.9,2.83E-05
FUCA2,0.5,0.049154709
GCLC,0.7,0.01766916
NFYA,0.9,0.002413969
STPG1,-1,1.17E-04
NIPAL3,0.5,0.045371837
LAS1L,0.2,0.009357157
ENPP4,0.6,0.119241533
SEMA3F,0.7,0.023968655
CFTR,1.3,0.022886331
ANKIB1,1,0.003775964
CYP51A1,-0.5,0.266689343
RAD52,0.9,0.006087183
MYH16,-0.6,0.422644806
BAD,-0.4,0.144857394
LAP3,0.8,4.89E-10
CD99,1.3,1.47E-06
HS3ST1,-1.3,9.72E-06
WNT16,-0.1,0.863683209
HECW1,-1.7,2.93E-11
MAD1L1,-0.5,0.028136325
LASP1,-0.2,0.54811484
SNX11,-0.1,0.401084139
TMEM176A,1.9,9.73E-08
M6PR,-0.3,0.272570403
KLHL13,0.2,0.552026398
CYP26B1,-1.6,3.29E-05
ICA1,-1.5,1.11E-14
DBNDD1,-1.1,0.001089941
ALS2,-0.5,2.55E-06
CASP10,0.7,0.009863084
CFLAR,1.1,1.64E-12
TFPI,1.5,4.82E-05
NDUFAF7,-0.3,0.153984165
RBM5,0.2,0.280698992
MTMR7,-0.7,0.03447443
SLC7A2,1.6,8.86E-04
ARF5,-1.1,0.001694293
SARM1,-0.1,0.744414731
POLDIP2,-0.4,0.00232106
PLXND1,0.2,0.539044245
AK2,0.6,2.65E-05
CD38,1,0.087500729
FKBP4,-0.4,0.236184385
KDM1A,-0.5,0.027261878
RBM6,0.4,0.056585166
CAMKK1,-1.9,2.36E-04
RECQL,0.6,0.028262944
VPS50,-0.9,5.37E-08
ARHGAP33,0.3,0.371263568
NDUFAB1,-0.9,1.95E-05
PDK4,2.4,7.15E-08
SLC22A16,1.1,0.16603543
ZMYND10,0.4,0.453432534
ABCB5,1.3,0.121846533
ARX,-0.3,0.248675054
SLC25A13,0.9,0.005219141
ST7,-0.3,0.136303092
CDC27,-0.3,0.30009382
SLC4A1,2.7,3.76E-04
CALCR,-1,0.208584527
HCCS,-1,5.29E-06
DVL2,0.4,0.002837459
UPF1,0.2,0.549060134
SKAP2,-0.5,0.017815024
SLC25A5,-0.6,7.73E-04
MCUB,0.7,0.126098337
POLR2J,0.4,0.050697465
DHX33,-0.3,0.046381565
THSD7A,-0.1,0.889615077
LIG3,-0.2,0.320729222
RPAP3,-0.2,0.391363021
ACSM3,0.4,0.663854167
REXO5,-0.6,0.030664703
CIAPIN1,-0.8,0.006794016
FAM214B,0.2,0.323959212
COPZ2,1,0.003262892
PRKAR2B,-0.7,0.037502427
MSL3,-0.5,6.98E-04
CREBBP,0.2,0.285407
TSPOAP1,-0.2,0.477906165
MPO,-0.4,0.215477866
PON1,0.9,0.218214247
GCFC2,0.1,0.844376236
WDR54,-0.9,0.038003374
CROT,0.2,0.468269433
ABCB4,-0.1,0.906122535
KMT2E,0.5,0.11482066
RHBDD2,-0.8,0.017472453
SOX8,1.2,1.04E-05
IBTK,0.3,0.371346946
MYCBP2,-1.2,3.23E-05
FBXL3,0.2,0.526080271
ITGAL,1.8,0.003142067
PDK2,-0.5,0.094500173
ITGA3,-0.7,0.023069765
ZFX,0.9,0.013569373
LAMP2,1.2,0.004059
ITGA2B,-0.3,0.284903524
ASB4,0.7,0.243496111
GDE1,-0.3,0.055955033
REX1BD,-0.6,0.155911861
CRLF1,-0.7,0.137772653
OSBPL7,0.2,0.349977579
TMEM98,0.9,0.046300686
YBX2,-0.7,0.124231745
ABCC8,-1.1,0.003215834
CACNG3,-1.5,3.49E-05
TMEM132A,0.1,0.798472633
AP2B1,-0.3,0.026179419
TAC1,-1.7,0.018504305
ZNF263,-0.2,0.516525262
CX3CL1,-1,0.030159628
SPATA20,0.3,0.279669054
CACNA1G,-1.3,5.73E-10
TNFRSF12A,1.2,0.026731124
DLX6,-0.9,0.06950832
MAP3K9,-1.5,2.14E-06
RALA,0.4,0.128307868
BAIAP2L1,1.2,2.95E-04
ETV1,0.1,0.855437336
AGK,-0.6,7.16E-07
ALDH3B1,0.9,0.002455621
TTC22,-0.7,0.25870378
PHTF2,0.2,0.485352825
FARP2,0.5,0.071129611
USH1C,1.2,0.03530619
GGCT,-0.5,0.054778429
DBF4,-0.1,0.77870482
TBXA2R,0.9,0.026153916
IFRD1,0.2,0.52582858
COX10,-0.5,0.024008982
VPS41,-0.4,4.15E-04
ARHGAP44,-1,0.00192923
ELAC2,-0.3,0.430759917
SCIN,2.6,2.95E-04
ARSD,0.8,0.019495293
PNPLA4,0.1,0.830017429
MYH13,-0.7,0.346191416
ADIPOR2,1.2,1.72E-08
CDKL3,0.3,0.501135409
UPP2,0.3,0.41761519
PRSS21,0.1,0.893498098
MARK4,-0.4,0.209117201
PROM1,1,3.55E-06
CCDC124,-0.3,0.354120833
CEACAM21,1.7,0.007255015
PAFAH1B1,-0.6,0.003215661
NOS2,-1.9,4.27E-05
DNAH9,-1.3,1.09E-04
KIAA0100,-0.3,0.3368517
GAS7,-0.6,4.36E-04
TRAPPC6A,0.3,0.233380807
MATK,-1,0.028942513
CD79B,0.1,0.876295466
ST7L,0.2,0.434241619
TKTL1,0.9,0.223542623
PAX6,1.2,0.033929584
RPUSD1,-0.7,0.041431046
RHBDF1,1.1,9.43E-06
LUC7L,0.1,0.402442498
CACNA2D2,-0.8,5.03E-06
BAIAP3,-0.5,0.447997349
TSR3,-0.2,0.714522036
PIGQ,-0.1,0.845579359
CRAMP1,0.1,0.63722204
TEAD3,1.6,7.31E-07
SELE,2.4,1.19E-04
DNAJC11,-0.5,0.083513185
FMO3,1.2,0.029449221
MYLIP,0.4,0.240783778
NOX1,0.2,0.760585095
E2F2,3.3,2.39E-06
PSMB1,-0.1,0.511762506
SYN1,-1.3,0.00664603
JARID2,0.3,0.382859919
CDKL5,-1,3.95E-05
CAMK1G,-1.5,7.69E-04
CDK11A,0.8,0.0425883
DLEC1,1.1,0.092618191
CYTH3,-0.4,0.023131112
ADAM22,-0.9,1.37E-08
SYPL1,1.1,0.00471139
CYB561,-1,0.01748825
SPAG9,0.8,0.013296207
CELSR3,-0.6,0.027110081
AASS,1,0.05510289
SS18L2,-0.1,0.864620904
MPND,-0.7,0.104199722
MGST1,2.3,3.63E-06
CRY1,0.9,0.009735973
PGLYRP1,-0.2,0.768835399
NFIX,0.1,0.502508145
ST3GAL1,-0.2,0.224904026
MMP25,1.1,0.024498734
IL32,0.8,0.024324289
PKD1,-1,0.012936329
MAPK8IP2,-0.8,0.035641897
RHOBTB2,-1.1,5.71E-05
HEATR5B,-0.5,0.029370276
SEC62,0.7,0.062824559
RPS20,0.5,0.008443446
CSDE1,0.4,0.167053222
UBE3C,-0.5,0.00142203
REV3L,0.6,0.052381455
TENM1,0.4,0.070833722
PAX7,-2.4,2.70E-10
MASP2,-0.7,0.006087166
FAM76A,-0.1,0.877584992
TRAF3IP3,0.8,0.258613589
POMT2,0.7,0.001543333
VTA1,-0.4,0.053576358
MLXIPL,-0.3,0.515358088
BAZ1B,0.4,0.019558826
RANBP9,-0.5,0.015799295
ETV7,0.1,0.882873506
SPRTN,0.3,0.384334013
EEF1AKNMT,-0.4,0.21337493
ZNF207,0.2,0.454284572
UQCRC1,-1,5.17E-04
STARD3NL,0.3,0.335183332
CD9,0.8,0.06175011
NCAPD2,0.7,2.43E-04
IFFO1,-0.6,0.125804542
GIPR,0.9,0.002216294
PHF7,-0.6,0.005820921
NISCH,-0.3,0.46735158
STAB1,1.6,0.006986144
FUZ,0.4,0.195031145
