Gene	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5
1/2-SBSRNA4	74	51	36	66	34	39	41	33	35	18
A1BG	194	315	195	274	456	138	128	175	147	171
A1BG-AS1	128	129	79	145	82	115	137	100	102	45
A1CF	1360	1139	780	1552	1011	6	7	3	3	2
A2LD1	161	144	98	247	166	101	79	115	99	82
A2M	46752	42968	27571	55019	32594	13396	14316	14391	11543	7600
A2ML1	17	23	8	18	15	186	195	154	154	105
A2MP1	8	6	2	8	4	6	7	10	17	5
A4GALT	206	244	187	269	437	173	151	186	191	167
A4GNT	4	2	1	3	0	5	8	3	3	5
AA06	0	0	0	0	0	0	0	0	0	0
AAA1	86	84	56	144	82	10	9	13	13	8
AAAS	5156	5248	3458	6394	3362	2125	2349	2148	1836	979
AACS	2488	2710	1786	3164	2006	3743	3962	3904	3362	2044
AACSP1	73	91	35	114	56	12	13	19	14	11
AADAC	12	6	5	10	6	0	1	0	0	1
AADACL2	0	0	0	0	0	1	0	0	0	0
AADACL3	5	3	0	2	0	0	0	0	0	0
AADACL4	2	0	1	0	0	0	0	0	0	0
AADAT	660	569	389	797	464	548	575	570	532	323
AAGAB	5061	4154	2969	6115	3389	2797	2951	2990	2415	1610
AAK1	3241	2812	1947	3978	2411	18189	18761	19603	15355	11120
AAMP	6685	7681	4682	9053	5194	6878	7412	6799	6019	3428
AANAT	16	9	6	14	10	13	10	19	22	4
AARS	23856	22479	14272	29297	15465	24955	26865	25770	21806	12782
AARS2	2724	2881	1866	3426	2389	2032	2019	2017	1742	1106
AARSD1	2529	2376	1480	3311	1596	2445	2661	2587	2197	1292
AASDH	1087	855	643	1231	749	928	999	1044	838	587
AASDHPPT	5004	3962	2916	6002	3603	8456	8299	9071	7184	5325
AASS	2171	1721	1217	2476	1711	1604	1626	1865	1454	1026
AATF	5366	4779	3258	6807	4054	2194	2332	2389	1955	1315
AATK	147	204	147	219	418	8459	8441	8250	7432	10243
AATK-AS1	3	1	1	5	1	16	8	20	9	3
ABAT	2279	1992	1322	2545	1479	26555	28531	28233	23077	13801
ABCA1	2638	2219	1619	3132	2190	1279	1349	1383	1049	808
ABCA10	23	23	9	30	19	353	346	389	298	212
ABCA11P	635	560	383	722	403	480	532	545	451	277
ABCA12	242	180	142	279	237	12	14	15	10	8
ABCA13	47	36	34	66	45	11	10	7	8	5
ABCA17P	19	18	18	29	13	116	131	103	89	82
ABCA2	4282	5641	3468	5367	6570	49236	51454	48840	41921	36083
ABCA3	1296	1742	1131	1903	1588	13492	14293	13345	11797	7534
ABCA4	261	250	140	302	161	80	103	98	80	52
ABCA5	1892	1623	1144	2226	1458	5282	5265	5623	4167	3307
ABCA6	14	9	6	13	9	516	486	594	400	319
ABCA7	1429	1701	1013	1706	2268	1443	1485	1656	1296	1208
ABCA8	250	229	145	266	194	3565	3784	3803	3086	2017
ABCA9	2	4	0	14	3	661	720	770	540	413
ABCB1	565	496	304	626	381	1923	2012	2108	1663	1037
ABCB10	3104	2428	1671	3560	2176	1549	1539	1607	1396	930
ABCB11	7	3	7	2	3	2	3	0	1	2
ABCB4	280	219	157	352	182	20	34	30	19	15
ABCB5	508	360	263	536	308	0	0	0	0	0
ABCB6	4592	4553	3057	5802	3710	2309	2669	2473	2186	1338
ABCB7	2913	2432	1608	3417	1991	952	947	948	826	583
ABCB8	1483	1969	1283	1961	2041	2683	2926	2766	2248	1674
ABCB9	385	447	305	526	465	1558	1648	1600	1323	1044
ABCC1	9405	9974	5997	11301	7276	1312	1421	1419	1176	689
ABCC10	1492	1697	1128	2004	1490	1606	1692	1846	1497	943
ABCC11	23	23	24	45	19	91	86	83	72	36
ABCC12	1	1	1	0	1	194	211	194	196	127
ABCC13	2	3	0	1	0	1	4	1	2	1
ABCC2	6667	5745	3749	7331	4522	56	54	64	44	43
ABCC3	1796	1902	1141	2252	1515	80	75	76	74	31
ABCC4	3626	3124	2102	4251	2814	381	370	408	300	221
ABCC5	3331	3038	2004	4067	2466	7806	8467	8498	7007	4393
ABCC6	574	673	438	740	596	53	45	35	33	32
ABCC6P1	506	397	304	561	369	19	20	16	16	11
ABCC6P2	51	61	27	70	43	8	5	14	2	2
ABCC8	25	21	15	19	15	5448	5955	5591	4523	2738
ABCC9	1470	1173	861	1754	904	2214	2177	2389	1893	1269
ABCD1	1051	1448	893	1456	1631	199	209	226	190	155
ABCD2	50	29	31	56	33	1696	1696	1735	1311	1032
ABCD3	4696	3853	2839	5747	3553	3128	3226	3321	2797	2091
ABCD4	2318	2181	1380	2692	1514	1744	1990	1912	1640	911
ABCE1	11492	9163	6689	13809	8180	3801	3857	4247	3212	2389
ABCF1	11856	11146	7206	14863	8352	3545	3783	3713	3130	2072
ABCF2	7777	7363	4745	9612	5245	4760	5116	4799	4095	2415
ABCF3	3612	3754	2384	4678	2600	4912	5550	5243	4530	2337
ABCG1	1654	1659	1041	2040	1289	1943	2027	2000	1709	1113
ABCG2	818	657	444	932	544	2281	2332	2448	1926	1392
ABCG4	54	48	32	79	41	2752	3022	2878	2465	1352
ABCG5	278	245	180	322	237	15	16	16	16	8
ABCG8	111	126	82	151	79	41	42	47	30	12
ABHD1	34	42	17	54	25	42	36	48	42	23
ABHD10	2714	2120	1490	3325	1919	3303	3418	3478	2994	2153
ABHD11	1212	1362	785	1638	1024	614	726	663	590	449
ABHD11-AS1	18	18	10	12	13	4	1	1	0	1
ABHD12	4709	4877	3166	6031	3974	7654	8138	8201	6657	4546
ABHD12B	20	18	9	30	11	156	198	202	156	111
ABHD13	1433	1094	768	1521	1084	1596	1600	1844	1415	1110
ABHD14A	443	519	347	604	397	2008	2291	2107	1803	1190
ABHD14A-ACY1	1	0	0	1	2	11	15	3	10	17
ABHD14B	3645	4081	2450	4901	3317	817	937	888	748	476
ABHD15	940	929	565	1221	793	223	242	239	220	160
ABHD16A	2519	2793	1766	3404	2042	4203	4600	4473	3760	2279
ABHD16B	116	129	92	141	473	75	57	68	57	138
ABHD2	8133	7019	4885	8863	6044	12594	13183	13622	11034	7322
ABHD3	2649	2055	1472	3289	1794	778	777	882	697	516
ABHD4	2837	2766	1729	3382	1902	1688	1850	1782	1460	832
ABHD5	1996	1515	1043	2263	1396	1455	1554	1619	1346	908
ABHD6	1056	930	611	1286	644	3913	4224	4202	3442	2220
ABHD8	309	420	273	452	999	2742	2821	2567	2405	3470
ABI1	3910	3338	2156	4751	2706	5760	5939	6022	5010	3349
ABI2	7650	6379	4409	8896	5637	16304	16631	17242	14004	9687
ABI3	66	77	55	87	67	244	239	237	192	137
ABI3BP	467	348	247	506	315	277	277	299	251	175
ABL1	7582	8744	5528	9532	8308	4476	4742	4696	3877	2726
ABL2	3798	3375	2351	4478	2869	4162	4467	4547	3731	2283
ABLIM1	5918	4815	3412	6475	4504	45130	47487	47079	38198	26450
ABLIM2	91	73	66	143	73	4731	5277	4909	4126	2539
ABLIM3	2238	2041	1428	2714	1525	6810	7132	7088	5927	3497
ABO	79	92	61	79	118	26	23	24	25	18
ABP1	23	34	18	26	25	0	0	0	0	0
ABR	4735	5798	3560	6163	4594	27965	30829	29658	24945	15249
ABRA	4	5	1	2	4	27	26	44	35	14
ABT1	1719	1856	1175	2145	1742	738	872	830	690	536
ABTB1	570	646	432	701	657	5216	5494	5412	4536	3478
ABTB2	1088	1035	699	1312	1059	1151	1274	1130	986	667
ACAA1	3686	3755	2284	4701	2488	3903	4368	4046	3576	2067
ACAA2	5596	4664	3251	6798	3626	1851	1928	1975	1677	1100
ACACA	8519	8014	5051	10023	6358	9214	9825	9926	8102	5192
ACACB	933	940	659	1093	719	2305	2550	2450	2028	1129
ACAD10	2101	2002	1245	2415	1581	932	1128	974	846	548
ACAD11	183	163	106	186	174	206	204	214	153	121
ACAD8	2088	1962	1212	2574	1485	2132	2171	2227	1785	1018
ACAD9	2889	3027	1886	3716	2317	2145	2349	2300	1991	1233
ACADL	6	17	7	15	8	85	110	107	100	61
ACADM	5431	4301	2990	6333	3791	3254	3475	3749	2880	2038
ACADS	463	671	395	670	923	433	493	505	405	404
ACADSB	3788	3122	2189	4330	2667	4552	4633	4985	3926	2681
ACADVL	20844	20975	13599	26579	14774	10812	11838	11109	9648	5832
ACAN	58	37	29	65	35	254	245	274	214	145
ACAP1	319	340	258	432	367	47	48	54	47	34
ACAP2	4994	4026	2760	5592	3956	3176	3327	3571	2807	2130
ACAP3	2121	2558	1601	2752	4020	9076	9493	8936	7959	8944
ACAT1	6784	5401	3908	8581	4619	2878	2987	3244	2607	1816
ACAT2	7174	6210	4063	8847	4764	2478	2733	2651	2174	1412
ACBD3	5031	4079	2845	6055	3814	2999	2919	3133	2500	1763
ACBD4	652	750	493	886	726	973	971	991	896	732
ACBD5	2729	2325	1683	3215	2033	4803	5046	5044	4298	3029
ACBD6	2765	2473	1773	3670	2388	1286	1192	1361	1183	893
ACBD7	791	765	528	1144	490	5065	5224	5496	4650	2512
ACCN1	6	7	10	9	9	1638	1809	1667	1382	1107
ACCN2	1067	1111	758	1488	812	4803	5056	4703	4062	2274
ACCN3	262	313	187	387	304	893	951	874	816	615
ACCN4	260	353	210	361	334	511	612	569	446	347
ACCN5	4	2	0	1	0	0	0	2	0	0
ACCS	478	500	295	651	388	154	165	152	146	66
ACCSL	0	0	1	1	1	1	6	0	4	2
ACD	1442	1855	1186	2013	1775	1445	1599	1456	1282	1024
ACE	419	476	287	511	478	427	478	466	388	304
ACE2	50	31	36	69	27	13	8	18	12	8
ACER1	0	0	0	2	0	3	4	5	4	1
ACER2	187	170	114	202	156	280	303	288	243	160
ACER3	1658	1299	995	1969	1252	2333	2292	2509	2007	1420
ACHE	81	108	53	90	145	1970	1993	1995	1746	1682
