"set_id","name","ID","Name","Size","Coverage","TDP.bound","TDP.estimate","SC.adjP","Comp.adjP"
"WP1600","Nicotine Metabolism",38,"WP1600",6,0.17,1,1,3.39506009152496e-24,3.39506009152496e-24
"WP2276","Glial Cell Differentiation",88,"WP2276",8,0.62,0.4,0.4,7.83386153710323e-26,5.70447887867626e-23
"WP4030","SCFA and skeletal muscle substrate metabolism",332,"WP4030",6,0.33,0.5,0.5,7.99040804992212e-20,7.99040804992212e-20
"WP334","GPCRs, Class B Secretin-like",210,"WP334",24,0.17,0.5,0.5,3.06579274689702e-21,1.60955895014834e-18
"WP1991","SRF and miRs in Smooth Muscle Differentiation and Proliferation",60,"WP1991",13,0.69,0.888888888888889,1,5.37258163429194e-24,1.16900918682e-14
"WP206","Fatty Acid Omega Oxidation",76,"WP206",15,0.33,0.6,0.8,2.94021006969881e-38,1.31928124608757e-14
"WP3299","let-7 inhibition of ES cell reprogramming",205,"WP3299",15,0.33,0.6,0.6,1.69191698398203e-15,1.74501293167954e-14
"WP2023","Cell Differentiation - Index expanded",66,"WP2023",50,0.22,0.727272727272727,0.727272727272727,4.7856489956754e-16,2.33586928012365e-14
"WP2029","Cell Differentiation - Index",67,"WP2029",42,0.14,0.833333333333333,0.833333333333333,4.7856489956754e-16,2.33586928012365e-14
"WP2366","Butyrate-induced histone acetylation",105,"WP2366",2,1,0.5,0.5,1.10524321914212e-13,1.10524321914212e-13
"WP3297","EV release from cardiac cells and their functional effects",203,"WP3297",9,0.44,0.75,0.75,3.05550468161626e-32,3.37870774082303e-13
"WP554","ACE Inhibitor Pathway",530,"WP554",17,0.65,0.545454545454545,0.545454545454545,3.79036700534385e-25,5.54255202240522e-13
"WP4284","Ultraconserved region 339 modulation of tumor suppressor microRNAs in cancer",385,"WP4284",5,0.4,0.5,0.5,2.90591396510707e-11,2.90591396510707e-11
"WP2361","Gastric Cancer Network 1",103,"WP2361",29,0.76,0.727272727272727,0.727272727272727,3.61848623532521e-17,1.04514067941364e-10
"WP3944","Serotonin and anxiety-related events",309,"WP3944",13,0.46,0.666666666666667,0.666666666666667,1.45750470372243e-17,3.26510400891469e-09
"WP3947","Serotonin and anxiety",311,"WP3947",17,0.41,0.428571428571429,0.428571428571429,1.45750470372243e-17,3.26510400891469e-09
"WP1438","Influenza A virus infection",20,"WP1438",2,0.5,1,1,1.28737203377495e-08,1.28737203377495e-08
"WP383","Striated Muscle Contraction Pathway",265,"WP383",38,0.61,0.565217391304348,0.652173913043478,1.03667354058147e-21,1.30607861950122e-08
"WP2542","Sulindac Metabolic Pathway",133,"WP2542",5,0.8,0.5,0.75,4.35964063989166e-11,2.5564111779557e-08
"WP4222","Phosphodiesterases in neuronal function",366,"WP4222",55,0.56,0.419354838709677,0.483870967741935,1.11151548949677e-22,3.51064709129753e-08
"WP2943","Hypoxia-mediated EMT and Stemness",191,"WP2943",2,1,0.5,0.5,1.87433487284931e-07,1.87433487284931e-07
"WP2874","Liver X Receptor Pathway",175,"WP2874",10,0.5,0.4,0.4,9.83107916736652e-08,2.35055233649832e-07
"WP466","DNA Replication",480,"WP466",42,0.98,0.634146341463415,0.75609756097561,3.91911842678923e-14,4.20885218710584e-07
"WP545","Complement Activation",528,"WP545",22,0.68,0.466666666666667,0.466666666666667,3.75341311013175e-54,6.35126956702113e-07
"WP4240","Regulation of sister chromatid separation at the metaphase-anaphase transition",374,"WP4240",16,0.94,0.533333333333333,0.533333333333333,4.41152154021936e-12,6.65380602412947e-07
"WP4300","Extracellular vesicles in the crosstalk of cardiac cells",395,"WP4300",28,0.61,0.411764705882353,0.588235294117647,1.55030261832076e-25,8.80494600850642e-07
"WP531","DNA Mismatch Repair",525,"WP531",22,0.95,0.523809523809524,0.571428571428571,3.57124737003596e-13,1.25145166671192e-06
"WP4589","Major receptors targeted by epinephrine and norepinephrine",471,"WP4589",15,0.73,0.636363636363636,0.636363636363636,1.11151548949677e-22,2.66815064645758e-06
"WP4760","PKC-gamma calcium signaling pathway in ataxia",508,"WP4760",22,0.55,0.416666666666667,0.583333333333333,6.52294438984146e-17,2.70719651941471e-06
"WP4191","Caloric restriction and aging",354,"WP4191",8,1,0.375,0.375,2.9447393377517e-11,3.80469322236512e-06
"WP2446","Retinoblastoma Gene in Cancer",117,"WP2446",88,0.98,0.546511627906977,0.593023255813954,1.96366351804733e-14,4.24785596200959e-06
"WP1992","Genes targeted by miRNAs in adipocytes",61,"WP1992",19,0.53,0.5,0.5,2.33586928012365e-14,8.49856030430427e-06
"WP4337","ncRNAs involved in STAT3 signaling in hepatocellular carcinoma",406,"WP4337",17,0.76,0.538461538461538,0.615384615384615,1.55030261832076e-25,9.36831691097847e-06
"WP2645","Heroin metabolism",145,"WP2645",3,0.67,0.5,1,1.87627142351219e-05,1.87627142351219e-05
"WP2826","Cocaine metabolism",158,"WP2826",4,0.5,0.5,1,1.87627142351219e-05,1.87627142351219e-05
"WP1602","Nicotine Activity on Dopaminergic Neurons",40,"WP1602",22,0.5,0.636363636363636,0.818181818181818,2.50026382158374e-16,2.24952453555091e-05
"WP4545","Oxysterols derived from cholesterol",452,"WP4545",18,0.56,0.6,0.6,1.46780086933461e-09,2.36116814219851e-05
"WP45","G1 to S cell cycle control",430,"WP45",64,0.95,0.491803278688525,0.573770491803279,3.91911842678923e-14,2.89588011644963e-05
"WP1495","Glycine Metabolism",24,"WP1495",4,0.75,0.666666666666667,0.666666666666667,7.32732034249336e-10,2.91348117795513e-05
"WP2879","Farnesoid X Receptor  Pathway",180,"WP2879",19,0.37,0.428571428571429,0.428571428571429,1.03671457774015e-11,0.000129931976156264
"WP34","Ovarian Infertility Genes",211,"WP34",32,0.53,0.411764705882353,0.411764705882353,8.1728342950092e-20,0.000152471085336278
"WP516","Hypertrophy Model",519,"WP516",20,0.75,0.466666666666667,0.533333333333333,1.73723649603814e-29,0.000166791537749366
"WP247","Small Ligand GPCRs",121,"WP247",19,0.53,0.6,0.8,3.77273931182897e-18,0.000182717661150266
"WP2363","Gastric Cancer Network 2",104,"WP2363",33,0.88,0.448275862068966,0.448275862068966,1.12863099668653e-15,0.000185246692246443
"WP170","Nuclear Receptors",44,"WP170",39,0.74,0.413793103448276,0.413793103448276,5.53853655041636e-45,0.000204208460415242
"WP3996","Ethanol effects on histone modifications",325,"WP3996",31,0.9,0.428571428571429,0.5,2.94021006969881e-38,0.000238758692258098
"WP4400","FABP4 in ovarian cancer",417,"WP4400",2,0.5,1,1,0.000245357066905715,0.000245357066905715
"WP58","Monoamine GPCRs",534,"WP58",33,0.15,0.6,0.6,2.66815064645758e-06,0.000266280491622695
"WP3679","Cell-type Dependent Selectivity of CCK2R Signaling",261,"WP3679",13,0.69,0.444444444444444,0.555555555555556,6.52294438984146e-17,0.000315427333264674
"WP2338","miRNA Biogenesis",99,"WP2338",8,0.75,0.5,0.5,5.52094234656009e-11,0.000633704399420972
"WP1455","Serotonin Transporter Activity",22,"WP1455",11,0.73,0.375,0.5,5.50097841431123e-07,0.000698192443745329
"WP4016","DNA IR-damage and cellular response via ATR",329,"WP4016",83,0.9,0.413333333333333,0.466666666666667,3.1984443894539e-16,0.000704575375419051
"WP179","Cell Cycle",48,"WP179",122,0.94,0.434782608695652,0.48695652173913,3.91911842678923e-14,0.000860192369254168
"WP2848","Differentiation Pathway",162,"WP2848",48,0.54,0.461538461538462,0.538461538461538,1.55030261832076e-25,0.000900218402911242
"WP2815","Mammary gland development pathway - Involution (Stage 4 of 4)",155,"WP2815",10,1,0.5,0.7,3.47598200773578e-10,0.000979886474579196
"WP322","Osteoblast Signaling",199,"WP322",14,0.5,0.428571428571429,0.428571428571429,1.60955895014834e-18,0.00122105800992755
"WP4583","Biomarkers for urea cycle disorders",467,"WP4583",12,0.67,0.375,0.375,1.05891161032475e-42,0.00125836568297114
"WP3893","Development and heterogeneity of the ILC family",289,"WP3893",32,0.56,0.5,0.555555555555556,1.55030261832076e-25,0.00137922281926359
"WP2406","Cardiac Progenitor Differentiation",112,"WP2406",53,0.57,0.466666666666667,0.5,5.00019440781505e-25,0.0019450999028179
"WP558","Complement and Coagulation Cascades",531,"WP558",59,0.66,0.41025641025641,0.487179487179487,3.75341311013175e-54,0.00204133415581446
"WP2516","ATM Signaling Pathway",127,"WP2516",40,0.92,0.405405405405405,0.459459459459459,6.96540853859659e-18,0.00226170199642674
"WP3876","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation",282,"WP3876",13,0.85,0.454545454545455,0.454545454545455,1.1219536394885e-16,0.00287452439577986
"WP1545","miRNAs involved in DNA damage response",33,"WP1545",50,0.28,0.357142857142857,0.428571428571429,1.33825325438479e-13,0.00291300857028192
"WP3591","Sleep regulation",223,"WP3591",38,0.34,0.461538461538462,0.538461538461538,1.55030261832076e-25,0.00298637777295038
"WP2855","Dopaminergic Neurogenesis",166,"WP2855",30,0.33,0.4,0.6,8.1921343985721e-23,0.00300186445388684
"WP497","Urea cycle and metabolism of amino groups",515,"WP497",21,0.76,0.375,0.4375,1.21134935033961e-14,0.00350987947486594
"WP3407","FTO Obesity Variant Mechanism",212,"WP3407",8,0.88,0.428571428571429,0.428571428571429,2.9447393377517e-11,0.00376777148807062
"WP289","Myometrial Relaxation and Contraction Pathways",186,"WP289",158,0.76,0.391666666666667,0.466666666666667,4.72920713559152e-27,0.00465022180500277
"WP1530","miRNA Regulation of DNA Damage Response",27,"WP1530",93,0.69,0.375,0.453125,2.50026382158374e-16,0.00482551043459127
"WP4149","White fat cell differentiation",344,"WP4149",33,0.91,0.4,0.433333333333333,3.05550468161626e-32,0.00497520122591071
"WP2814","Mammary gland development pathway - Puberty (Stage 2 of 4)",154,"WP2814",13,0.92,0.5,0.5,8.1728342950092e-20,0.00569300599773054
"WP1603","Nicotine Activity on Chromaffin Cells",41,"WP1603",4,0.25,1,1,0.00581825930604642,0.00581825930604642
"WP4698","Vitamin D-sensitive calcium signaling in depression",486,"WP4698",41,0.54,0.363636363636364,0.5,6.52294438984146e-17,0.00581825930604642
"WP1971","Integrated Cancer Pathway",56,"WP1971",46,0.93,0.372093023255814,0.418604651162791,1.47590569356761e-12,0.00623426422936051
"WP4224","Purine metabolism and related disorders",368,"WP4224",22,0.86,0.368421052631579,0.421052631578947,3.39506009152496e-24,0.00660624701596271
"WP4259","Disorders of Folate Metabolism and Transport",379,"WP4259",13,0.85,0.454545454545455,0.454545454545455,7.32732034249336e-10,0.00660624701596271
"WP1601","Fluoropyrimidine Activity",39,"WP1601",34,0.82,0.392857142857143,0.5,7.38854762906026e-09,0.00668550277003425
"WP2806","Human Complement System",152,"WP2806",99,0.64,0.349206349206349,0.428571428571429,3.75341311013175e-54,0.00703640980157322
"WP707","DNA Damage Response",557,"WP707",69,0.9,0.370967741935484,0.451612903225806,2.50026382158374e-16,0.00934439177317729
"WP2895","Differentiation of white and brown adipocyte   ",187,"WP2895",25,0.72,0.388888888888889,0.388888888888889,4.791051754563e-15,0.00971361957709086
"WP1995","Effects of Nitric Oxide",62,"WP1995",8,0.5,0.5,0.75,3.39506009152496e-24,0.0112147264561884
"WP136","Phase I biotransformations, non P450",10,"WP136",8,0.62,0.4,0.6,1.87627142351219e-05,0.0123569322150726
"WP536","Calcium Regulation in the Cardiac Cell",527,"WP536",152,0.7,0.355140186915888,0.429906542056075,7.92756655687513e-25,0.0169432049684982
"WP35","G Protein Signaling Pathways",216,"WP35",97,0.78,0.355263157894737,0.434210526315789,1.11151548949677e-22,0.0169866528793556
"WP241","One Carbon Metabolism",113,"WP241",31,0.81,0.4,0.48,7.32732034249336e-10,0.0170103318686093
"WP4571","Urea cycle and related diseases",464,"WP4571",9,0.67,0.5,0.5,6.0595781921859e-07,0.020635406510022
"WP4752","Base Excision Repair",503,"WP4752",31,0.97,0.4,0.466666666666667,3.57124737003596e-13,0.0220340720140378
