"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","odds_ratio"
"WP2446","Retinoblastoma Gene in Cancer","47/1022","86/4839",6.08288534347113e-12,3.01102824501821e-09,2.81733636960768e-09,"25/54443/890/891/9133/898/9134/993/8318/8317/983/1017/1019/81620/1111/1786/1869/1870/2189/24137/4173/4175/4176/2956/4609/4998/5111/10733/5426/5427/5557/5591/5928/5947/5983/5984/5985/6119/6241/6502/10592/3925/7027/7153/7272/7298/7465",47,4.66971729125575
"WP466","DNA Replication","26/1022","41/4839",4.88122298123165e-09,1.20810268785483e-06,1.13038847986417e-06,"8318/990/8317/1017/81620/10926/55388/4171/4173/4174/4175/4176/4998/23594/5111/23649/5424/5426/5427/5557/5558/5982/5983/5984/5985/6119",26,6.61659973226238
"WP2361","Gastric Cancer Network 1","16/1022","22/4839",2.8778815405389e-07,4.20813701870437e-05,3.93743814615614e-05,"86/6790/1063/144455/1894/56992/9585/286826/4173/4605/57122/8607/64094/7153/22974/11065",16,10.1020543406229
"WP179","Cell Cycle","48/1022","115/4839",3.40051476258939e-07,4.20813701870437e-05,3.93743814615614e-05,"25/699/9184/890/891/9133/894/898/9134/991/993/995/8318/990/8317/983/1017/1019/1028/1111/11200/10926/1869/1870/9700/4616/2932/3066/10459/4171/4173/4174/4175/4176/4609/4998/23594/5111/9088/5347/5591/9232/5933/6502/7027/7043/7272/7465",48,2.75828250942413
"WP45","G1 to S cell cycle control","30/1022","61/4839",9.28021377109086e-07,9.18741163337995e-05,8.59640854585259e-05,"891/894/898/9134/993/8318/983/1017/1019/1028/90993/1869/1870/4171/4173/4174/4175/4176/4609/4998/23594/5111/23649/5426/5427/5557/5558/6119/7027/7465",30,3.69341831425598
"WP289","Myometrial Relaxation and Contraction Pathways","46/1022","120/4839",9.77018041145599e-06,0.000806039883945119,0.000754189365094849,"58/59/70/108/196883/111/115/408/467/489/800/817/1264/2353/2791/55970/54331/2788/2869/3488/3489/3569/3708/1902/23764/4846/5142/5144/11142/5331/5336/5577/5579/5590/10267/10266/10268/5996/8786/10287/5997/8490/8787/6262/6263/6546",46,2.38394439521489
"WP4016","DNA IR-damage and cellular response via ATR","31/1022","75/4839",5.22036834352934e-05,0.00369154618578146,0.00345407830248558,"672/675/83990/995/8318/983/1017/1111/11200/1196/63967/1869/9156/2175/2177/55215/2237/2305/4171/4436/79728/5111/5347/5591/5888/5883/55159/80010/55775/11073/7507",31,2.68239152371342
"WP383","Striated Muscle Contraction Pathway","13/1022","23/4839",0.000209501159191158,0.0129628842249529,0.0121290144794881,"58/59/70/1674/1756/10398/8736/7111/7139/7168/7169/7170/7431",13,4.90495540138751
"WP536","Calcium Regulation in the Cardiac Cell","38/1022","107/4839",0.000369441897512897,0.0203193043632093,0.0190122146088508,"108/196883/111/115/154/309/408/482/489/775/811/817/845/2701/57165/2775/2781/2791/55970/54331/2788/2869/3708/11142/5331/5350/5577/5579/5590/5996/8786/10287/5997/8490/8787/6262/6263/6546",38,2.09767880287499
"WP1991","SRF and miRs in Smooth Muscle Differentiation and Proliferation","7/1022","9/4839",0.000442625689689891,0.0219099716396496,0.0205005582593213,"817/894/9314/4208/4209/93649/6722",7,13.1551724137931
"WP531","DNA Mismatch Repair","11/1022","21/4839",0.00152210454302198,0.0629714363335005,0.0589206421833923,"9156/3978/4436/2956/5111/5424/5982/5983/5984/5985/6119",11,4.14213649851632
"WP2406","Cardiac Progenitor Differentiation","14/1022","30/4839",0.00152658027475153,0.0629714363335005,0.0589206421833923,"70/22943/2247/2932/3479/3624/3815/4208/4684/5156/4920/64321/6910/7139",14,3.29947916666667
"WP1530","miRNA Regulation of DNA Damage Response","24/1022","64/4839",0.00186690102319929,0.0710858466525883,0.0665130728913107,"25/637/672/891/9133/894/898/9134/993/995/983/1017/1019/1020/1111/11200/1869/2177/4616/4176/4609/5591/5888/5883",24,2.27074148296593
"WP35","G Protein Signaling Pathways","27/1022","76/4839",0.00250847820080499,0.0790149987243626,0.0739321625491112,"108/196883/111/115/9590/11214/9472/9465/9630/2774/2775/2781/2791/55970/2788/3708/4893/5136/5142/5144/27115/5331/5533/5577/5579/5590/6237",27,2.08667828940621
"WP707","DNA Damage Response","23/1022","62/4839",0.00271330802302758,0.0790149987243626,0.0739321625491112,"25/637/672/891/9133/894/898/9134/993/995/983/1017/1019/1020/1111/11200/1869/2177/4616/4609/5591/5888/5883",23,2.2302815636149
"WP1602","Nicotine Activity on Dopaminergic Neurons","7/1022","11/4839",0.00271364642083669,0.0790149987243626,0.0739321625491112,"108/1020/1138/54331/3777/84152/6571",7,6.57413793103448
"WP2023","Cell Differentiation - Index expanded","7/1022","11/4839",0.00271364642083669,0.0790149987243626,0.0739321625491112,"2146/10014/3398/9314/4208/4209/6722",7,6.57413793103448
"WP2848","Differentiation Pathway","12/1022","26/4839",0.0036947121263992,0.0968690978699419,0.0906377523929281,"22943/2247/3082/3479/3569/3570/3624/3815/4907/7043/7472/7482",12,3.22743988684583
"WP558","Complement and Coagulation Cascades","16/1022","39/4839",0.00371820779702807,0.0968690978699419,0.0906377523929281,"623/715/716/718/730/1675/3075/1191/2159/2161/2157/5648/5627/710/7035/7450",16,2.62356297000605
"WP2516","ATM Signaling Pathway","15/1022","37/4839",0.00561025279060555,0.138853756567487,0.129921643571918,"25/637/672/835/891/898/993/995/983/1017/1111/11200/2177/5888/5883",15,2.5695134061569
"WP4240","Regulation of sister chromatid separation at the metaphase-anaphase transition","8/1022","15/4839",0.00595545166757851,0.140378503592922,0.131348307455366,"699/701/9184/991/1062/9700/4085/9232",8,4.29416737109045
"WP4222","Phosphodiesterases in neuronal function","13/1022","31/4839",0.00694925428195734,0.149785380106981,0.140150063257994,"108/196883/111/115/2906/5136/5138/5140/5142/5144/8654/27115/84152",13,2.71924898138971
"WP236","Adipogenesis","33/1022","104/4839",0.00695972473224355,0.149785380106981,0.140150063257994,"1052/1675/55847/1869/1879/1959/2308/2487/4616/3479/3569/3572/28999/1316/3977/4154/4208/4209/4692/7025/2908/5465/10891/5740/5914/5933/6095/6319/6517/9021/6773/6777/25937",33,1.76046369216309
"WP2806","Human Complement System","22/1022","63/4839",0.00765136578770975,0.151658530005302,0.141902718133616,"715/716/718/730/811/966/22918/1675/3075/5199/1634/2159/2161/2162/3690/5648/5627/5806/6401/6403/710/6696",22,2.02614634146341
"WP3996","Ethanol effects on histone modifications","12/1022","28/4839",0.00765952171743951,0.151658530005302,0.141902718133616,"125/126/191/217/3066/9759/10014/10013/8850/4524/6573/7298",12,2.82252475247525
