"set_id","name","GENE.SET","ES","NES","PVAL"
"WP289","Myometrial Relaxation and Contraction Pathways","WP289",-0.593,-1.73,0
"WP3414","Initiation of transcription and translation elongation at the HIV-1 LTR","WP3414",-0.584,-1.75,0
"WP706","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways","WP706",-0.521,-1.74,0
"WP98","Prostaglandin Synthesis and Regulation","WP98",-0.667,-1.65,0
"WP3981","miRNA regulation of prostate cancer signaling pathways","WP3981",-0.528,-1.76,0.00191
"WP536","Calcium Regulation in the Cardiac Cell","WP536",-0.561,-1.7,0.00192
"WP4321","Thermogenesis","WP4321",-0.404,-1.61,0.00197
"WP4589","Major receptors targeted by epinephrine and norepinephrine","WP4589",-0.807,-1.62,0.00198
"WP2858","Ectoderm Differentiation","WP2858",-0.476,-1.6,0.00374
"WP2516","ATM Signaling Pathway","WP2516",0.653,1.8,0.00383
"WP35","G Protein Signaling Pathways","WP35",-0.563,-1.6,0.00387
"WP4016","DNA IR-damage and cellular response via ATR","WP4016",0.71,1.74,0.00588
"WP170","Nuclear Receptors","WP170",-0.669,-1.6,0.00592
"WP4481","Resistin as a regulator of inflammation","WP4481",-0.572,-1.56,0.00758
"WP707","DNA Damage Response","WP707",0.53,1.64,0.00772
"WP1530","miRNA Regulation of DNA Damage Response","WP1530",0.526,1.64,0.00781
"WP531","DNA Mismatch Repair","WP531",0.775,1.6,0.00783
"WP383","Striated Muscle Contraction Pathway","WP383",-0.737,-1.57,0.00803
"WP304","Kit receptor signaling pathway","WP304",-0.479,-1.56,0.00949
"WP1971","Integrated Cancer Pathway","WP1971",0.553,1.61,0.0116
"WP2355","Corticotropin-releasing hormone signaling pathway","WP2355",-0.492,-1.56,0.0116
"WP4746","Thyroid hormones production and their peripheral downstream signalling effects regarding congenital hypothyroidism","WP4746",-0.393,-1.47,0.0133
"WP3888","VEGFA-VEGFR2 Signaling Pathway","WP3888",-0.366,-1.58,0.0134
"WP554","ACE Inhibitor Pathway","WP554",-0.805,-1.55,0.0134
"WP4149","White fat cell differentiation","WP4149",-0.615,-1.56,0.0135
"WP2276","Glial Cell Differentiation","WP2276",-0.861,-1.48,0.0143
"WP4240","Regulation of sister chromatid separation at the metaphase-anaphase transition","WP4240",0.826,1.58,0.0157
"WP2361","Gastric Cancer Network 1","WP2361",0.801,1.59,0.0158
"WP4223","Ras Signaling","WP4223",-0.428,-1.52,0.017
"WP247","Small Ligand GPCRs","WP247",-0.801,-1.44,0.0174
"WP382","MAPK Signaling Pathway","WP382",-0.414,-1.48,0.0174
"WP1591","Heart Development","WP1591",-0.614,-1.53,0.0192
"WP206","Fatty Acid Omega Oxidation","WP206",-0.862,-1.47,0.0195
"WP466","DNA Replication","WP466",0.807,1.58,0.0196
"WP2197","Endothelin Pathways","WP2197",-0.633,-1.52,0.0206
"WP1528","Physiological and Pathological Hypertrophy  of the Heart","WP1528",-0.648,-1.51,0.0209
"WP428","Wnt Signaling","WP428",-0.453,-1.45,0.0209
"WP4535","Envelope proteins and their potential roles in EDMD physiopathology","WP4535",-0.459,-1.59,0.0209
"WP3995","Prion disease pathway","WP3995",-0.538,-1.6,0.0213
"WP2338","miRNA Biogenesis","WP2338",0.739,1.62,0.0214
"WP3584","MECP2 and Associated Rett Syndrome","WP3584",-0.416,-1.5,0.0218
"WP236","Adipogenesis","WP236",-0.503,-1.5,0.0249
"WP179","Cell Cycle","WP179",0.57,1.73,0.0251
"WP4008","NO/cGMP/PKG mediated Neuroprotection","WP4008",-0.544,-1.56,0.0252
"WP3959","DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM","WP3959",0.602,1.66,0.0257
