"set_id","name","GENE.SET","MEAN.ABS.T0","PADOG0","P.MEAN.ABS.T","PVAL"
"WP2023","Cell Differentiation - Index expanded","WP2023",4.65,3.97,0.002,1e-05
"WP2029","Cell Differentiation - Index","WP2029",4.49,3.78,1e-05,1e-05
"WP1991","SRF and miRs in Smooth Muscle Differentiation and Proliferation","WP1991",5.77,4.98,0.002,0.001
"WP2355","Corticotropin-releasing hormone signaling pathway","WP2355",2.65,0.539,0.016,0.005
"WP2361","Gastric Cancer Network 1","WP2361",5.83,5.94,0.02,0.012
"WP4300","Extracellular vesicles in the crosstalk of cardiac cells","WP4300",2.98,1.79,0.025,0.013
"WP554","ACE Inhibitor Pathway","WP554",3.32,3.11,0.015,0.017
"WP1602","Nicotine Activity on Dopaminergic Neurons","WP1602",2.95,2.84,0.025,0.022
"WP289","Myometrial Relaxation and Contraction Pathways","WP289",4.39,3.34,0.027,0.023
"WP466","DNA Replication","WP466",7.06,6.95,0.029,0.026
"WP3996","Ethanol effects on histone modifications","WP3996",2.9,2.75,0.028,0.029
"WP2197","Endothelin Pathways","WP2197",2.33,1.79,0.057,0.031
"WP3944","Serotonin and anxiety-related events","WP3944",3.63,2.35,0.024,0.032
"WP4222","Phosphodiesterases in neuronal function","WP4222",3.35,3.29,0.036,0.032
"WP2516","ATM Signaling Pathway","WP2516",3.11,1.92,0.066,0.034
"WP35","G Protein Signaling Pathways","WP35",3.9,3.17,0.058,0.034
"WP4337","ncRNAs involved in STAT3 signaling in hepatocellular carcinoma","WP4337",3.19,1.59,0.045,0.036
"WP4016","DNA IR-damage and cellular response via ATR","WP4016",4.23,3.94,0.047,0.042
"WP179","Cell Cycle","WP179",4.97,4.06,0.057,0.044
"WP2276","Glial Cell Differentiation","WP2276",2.33,2.36,0.033,0.044
"WP4589","Major receptors targeted by epinephrine and norepinephrine","WP4589",2.52,2.36,0.043,0.044
"WP4481","Resistin as a regulator of inflammation","WP4481",0.837,-1.09,0.215,0.045
"WP170","Nuclear Receptors","WP170",2.26,2.09,0.052,0.055
"WP45","G1 to S cell cycle control","WP45",4.7,3.8,0.076,0.055
"WP2032","Human Thyroid Stimulating Hormone (TSH) signaling pathway","WP2032",1.21,-0.856,0.161,0.056
"WP4545","Oxysterols derived from cholesterol","WP4545",2.36,2.34,0.048,0.056
"WP247","Small Ligand GPCRs","WP247",2.85,2.86,0.046,0.058
"WP3972","PDGFR-beta pathway","WP3972",0.799,-1.47,0.264,0.059
"WP3959","DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM","WP3959",2.85,2.02,0.076,0.06
"WP531","DNA Mismatch Repair","WP531",3.42,3.33,0.06,0.06
"WP236","Adipogenesis","WP236",3.23,2.04,0.071,0.062
"WP2431","Spinal Cord Injury","WP2431",2.99,1.54,0.077,0.063
"WP2446","Retinoblastoma Gene in Cancer","WP2446",6.49,5.76,0.077,0.064
"WP410","Exercise-induced Circadian Regulation","WP410",2.06,2.17,0.043,0.066
"WP734","Serotonin Receptor 4/6/7 and NR3C Signaling","WP734",0.96,-0.0811,0.109,0.067
"WP1530","miRNA Regulation of DNA Damage Response","WP1530",2.94,1.56,0.101,0.069
"WP4535","Envelope proteins and their potential roles in EDMD physiopathology","WP4535",0.883,-0.0123,0.165,0.069
"WP706","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways","WP706",2.09,1.29,0.073,0.069
"WP707","DNA Damage Response","WP707",2.81,1.42,0.105,0.077
"WP516","Hypertrophy Model","WP516",2.58,2.33,0.067,0.079
"WP4760","PKC-gamma calcium signaling pathway in ataxia","WP4760",2.6,2.31,0.071,0.083
"WP206","Fatty Acid Omega Oxidation","WP206",2.59,2.63,0.082,0.086
"WP2332","Interleukin-11 Signaling Pathway","WP2332",-0.0761,-1.89,0.431,0.086
"WP545","Complement Activation","WP545",3.38,3.38,0.086,0.087
"WP1528","Physiological and Pathological Hypertrophy  of the Heart","WP1528",1.68,0.0921,0.12,0.088
"WP2363","Gastric Cancer Network 2","WP2363",2.23,2.1,0.105,0.088
"WP4149","White fat cell differentiation","WP4149",2.24,1.72,0.082,0.089
"WP383","Striated Muscle Contraction Pathway","WP383",3.63,3.71,0.09,0.092
"WP2806","Human Complement System","WP2806",3.42,3.25,0.088,0.097
"WP2815","Mammary gland development pathway - Involution (Stage 4 of 4)","WP2815",1.85,0.685,0.138,0.097
"WP3299","let-7 inhibition of ES cell reprogramming","WP3299",2.08,1.36,0.088,0.098
"WP474","Endochondral Ossification","WP474",2.41,1.81,0.109,0.099
"WP558","Complement and Coagulation Cascades","WP558",3.35,3.36,0.091,0.1
"WP536","Calcium Regulation in the Cardiac Cell","WP536",3.57,3.14,0.112,0.101
"WP2855","Dopaminergic Neurogenesis","WP2855",2.1,1.73,0.118,0.102
"WP2406","Cardiac Progenitor Differentiation","WP2406",2.36,1.51,0.08,0.104
"WP4752","Base Excision Repair","WP4752",1.94,1.95,0.082,0.104
"WP2848","Differentiation Pathway","WP2848",2.55,1.58,0.088,0.107
"WP4240","Regulation of sister chromatid separation at the metaphase-anaphase transition","WP4240",2.93,3.03,0.101,0.107
"WP3893","Development and heterogeneity of the ILC family","WP3893",2.68,2.14,0.069,0.11
"WP2849","Hematopoietic Stem Cell Differentiation","WP2849",2.77,1.98,0.085,0.12
"WP3594","Circadian rhythm related genes","WP3594",1.98,1.21,0.101,0.121
