"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"WP3888","VEGFA-VEGFR2 Signaling Pathway",403,-0.462791684122784,-1.4853988252714,0.00103734439834025,0.0375873532804125,0.0285672455104788,2506,"tags=29%, list=20%, signal=24%","6154/9209/2185/5867/301/468/6129/5970/2746/4673/2887/6595/1466/2022/6093/4641/23291/9444/3688/57758/9261/5784/4303/3142/9734/26058/6778/4855/5170/3791/8828/5578/6461/4773/10628/154796/4792/6648/4790/1432/25759/5803/2152/355/80031/3490/5587/8665/27289/5743/23189/4736/3725/51574/5908/152273/2549/6125/7414/5906/1397/2078/9252/4846/5563/11080/6886/6386/4772/22943/2308/56999/25/2534/6546/9365/781/3690/57326/154/1847/7220/4629/1839/9759/6401/5592/51309/1003/326624/6347/596/1465/1901/1827/32/10014/22899/114789/857/91624/84952/274/6722/4208/9079/1958/5579/7111/1960/9510/4929/57381/7148/10231/8013/81575/3164"
"WP4172","PI3K-Akt Signaling Pathway",252,-0.504934506863715,-1.59047116964526,0.00109051254089422,0.0375873532804125,0.0285672455104788,2187,"tags=31%, list=18%, signal=26%","5728/9180/3716/55012/5170/57521/7424/3791/5578/3672/4254/1299/10161/3566/1436/7057/4790/1435/3574/3910/2323/10681/1026/7099/6446/4170/55970/3717/1975/7450/54331/4846/5563/284/7010/1291/4609/1288/5156/10000/3570/3690/4915/3913/3678/3563/5521/3680/90993/9586/5516/3815/1292/3082/3479/5525/80310/2260/3679/1286/627/596/1902/894/2690/10319/2258/3908/1440/2252/4804/2247/5649/2788/2791/8516/3569/7148"
"WP3932","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway",243,-0.515280852572342,-1.62048069376867,0.00109769484083425,0.0375873532804125,0.0285672455104788,2187,"tags=29%, list=18%, signal=24%","5728/9180/3716/55012/5170/57521/7424/3791/4254/2034/10161/3566/8660/1436/7057/51719/23216/1435/3910/81617/1026/55970/3717/1975/7450/54331/4846/5563/2308/284/7010/1288/5156/10000/3570/3690/3913/3678/3563/5521/3680/6515/90993/9586/5516/3815/1292/3082/3479/5525/80310/2260/3679/1286/1902/2690/10319/2258/10891/3908/1440/2252/4804/64344/2247/5649/2788/6517/2791/8516/7148"
"WP2882","Nuclear Receptors Meta-Pathway",222,-0.529042570431749,-1.65122829661689,0.00111731843575419,0.0375873532804125,0.0285672455104788,1655,"tags=22%, list=13%, signal=19%","4240/8824/4780/60482/6594/5743/3725/5465/11214/34/2040/2308/4609/8850/5552/2908/2099/80315/3726/5244/6515/4616/1028/1066/1839/5243/330/3082/10486/23764/89795/6347/2258/10891/2289/1831/2042/2949/7049/5142/1958/6649/7048/3727/6517/10252/2878/5997/5166"
"WP382","MAPK Signaling Pathway",195,-0.581705105571315,-1.80502358582806,0.00112233445566779,0.0375873532804125,0.0285672455104788,1531,"tags=23%, list=12%, signal=21%","355/1845/1844/4137/3725/5908/5602/55970/5906/9252/4772/775/7043/4609/10000/781/4915/6237/408/785/783/2260/1850/1326/5532/627/3306/9020/2316/8912/2258/2252/5533/6722/4208/120892/2247/10235/2353/8605/7048/2318/3727/1843/3164"
"WP306","Focal Adhesion",173,-0.563554095940283,-1.7299330490405,0.00114678899082569,0.0375873532804125,0.0285672455104788,2687,"tags=40%, list=22%, signal=32%","5159/2268/858/387/2889/7409/9475/7423/3915/7408/6093/3688/1793/5728/394/5170/7424/83660/3791/5578/5500/3672/2909/7057/60/4659/25759/3910/23396/54776/87/3725/5908/5602/7414/5906/7450/7791/7094/1288/2534/3611/55742/5156/10000/3690/3913/3678/3680/1292/330/3082/3479/80310/3679/1286/596/894/2316/10319/3908/857/4660/10398/4638/5649/2318/5579/8516/7148"
"WP289","Myometrial Relaxation and Contraction Pathways",120,-0.711645314331361,-2.10237128624456,0.00124069478908189,0.0375873532804125,0.0285672455104788,1562,"tags=40%, list=13%, signal=35%","3487/2114/5587/10681/3725/55970/108/3488/54331/4846/817/5336/6546/8787/10266/5996/6262/8786/800/408/489/58/2869/23764/10268/11142/5577/1902/467/5144/115/6263/3489/196883/59/10267/70/8490/5142/2353/3708/5579/2788/2791/111/5997/3569/1264"
"WP536","Calcium Regulation in the Cardiac Cell",107,-0.660848965792059,-1.93073756160088,0.00126422250316056,0.0375873532804125,0.0285672455104788,1596,"tags=36%, list=13%, signal=32%","2767/844/5587/10681/2770/55970/108/54331/817/775/6546/8787/5996/6262/154/8786/2701/408/489/2781/2869/11142/5577/2775/115/6263/196883/309/57165/5350/8490/845/482/3708/5579/2788/2791/111/5997"
"WP236","Adipogenesis",104,-0.613156949875672,-1.78269618489218,0.00127388535031847,0.0375873532804125,0.0285672455104788,2137,"tags=41%, list=17%, signal=34%","6778/652/23175/1647/2034/183/6776/8660/81029/4000/355/1026/4205/3976/2487/5465/55847/2308/28999/4154/6777/2908/6095/4616/1052/1959/4692/3479/5914/25937/3977/1316/9021/5740/7025/3572/10891/4208/4209/1879/6517/3569/1675"
"WP2355","Corticotropin-releasing hormone signaling pathway",73,-0.644471493229881,-1.80014174992528,0.00134952766531714,0.0375873532804125,0.0285672455104788,1683,"tags=34%, list=14%, signal=30%","4790/1432/2767/10681/7099/2770/5908/4846/5563/8061/5336/6925/3726/408/2781/10411/596/2775/8912/2353/3727/5579/4929/2354/3164"
