"set_id","name","GENE.SET","GLOB.STAT","NGLOB.STAT","PVAL"
"WP1991","SRF and miRs in Smooth Muscle Differentiation and Proliferation","WP1991",39300,4370,0.001
"WP2023","Cell Differentiation - Index expanded","WP2023",43100,3920,0.001
"WP1602","Nicotine Activity on Dopaminergic Neurons","WP1602",40000,3630,0.002
"WP2029","Cell Differentiation - Index","WP2029",25100,4180,0.007
"WP3996","Ethanol effects on histone modifications","WP3996",86700,3100,0.008
"WP497","Urea cycle and metabolism of amino groups","WP497",52400,3280,0.008
"WP3944","Serotonin and anxiety-related events","WP3944",23400,3900,0.009
"WP2361","Gastric Cancer Network 1","WP2361",83100,3780,0.011
"WP4545","Oxysterols derived from cholesterol","WP4545",35000,3500,0.012
"WP2848","Differentiation Pathway","WP2848",80700,3110,0.013
"WP247","Small Ligand GPCRs","WP247",36000,3600,0.017
"WP4300","Extracellular vesicles in the crosstalk of cardiac cells","WP4300",55600,3270,0.017
"WP466","DNA Replication","WP466",152000,3720,0.019
"WP289","Myometrial Relaxation and Contraction Pathways","WP289",341000,2840,0.022
"WP236","Adipogenesis","WP236",292000,2810,0.026
"WP179","Cell Cycle","WP179",347000,3010,0.027
"WP2855","Dopaminergic Neurogenesis","WP2855",33200,3320,0.028
"WP3893","Development and heterogeneity of the ILC family","WP3893",56400,3130,0.029
"WP45","G1 to S cell cycle control","WP45",194000,3190,0.029
"WP4337","ncRNAs involved in STAT3 signaling in hepatocellular carcinoma","WP4337",44300,3410,0.03
"WP4222","Phosphodiesterases in neuronal function","WP4222",93100,3000,0.031
"WP4760","PKC-gamma calcium signaling pathway in ataxia","WP4760",40100,3340,0.033
"WP35","G Protein Signaling Pathways","WP35",220000,2900,0.035
"WP3958","GPR40 Pathway","WP3958",40300,3100,0.035
"WP4149","White fat cell differentiation","WP4149",87000,2900,0.036
"WP474","Endochondral Ossification","WP474",154000,2850,0.041
"WP2355","Corticotropin-releasing hormone signaling pathway","WP2355",199000,2730,0.043
"WP2446","Retinoblastoma Gene in Cancer","WP2446",283000,3290,0.044
"WP2849","Hematopoietic Stem Cell Differentiation","WP2849",124000,2880,0.046
"WP4589","Major receptors targeted by epinephrine and norepinephrine","WP4589",36300,3300,0.046
"WP3591","Sleep regulation","WP3591",40000,3080,0.047
"WP4584","Biomarkers for pyrimidine metabolism disorders","WP4584",37600,3140,0.047
"WP1992","Genes targeted by miRNAs in adipocytes","WP1992",31600,3160,0.048
"WP2064","Neural Crest Differentiation","WP2064",178000,2770,0.048
"WP383","Striated Muscle Contraction Pathway","WP383",76100,3310,0.049
"WP241","One Carbon Metabolism","WP241",75100,3000,0.052
"WP2516","ATM Signaling Pathway","WP2516",109000,2950,0.052
"WP2815","Mammary gland development pathway - Involution (Stage 4 of 4)","WP2815",32200,3220,0.052
"WP516","Hypertrophy Model","WP516",46500,3100,0.053
"WP58","Monoamine GPCRs","WP58",17300,3460,0.054
"WP4016","DNA IR-damage and cellular response via ATR","WP4016",223000,2970,0.055
"WP2840","Hair Follicle Development: Cytodifferentiation (Part 3 of 3)","WP2840",156000,2790,0.058
